gene	p_condition	p_time	p_time_condition	padj_condition	padj_time	padj_time_condition	classification	trajectory_cluster
FAM111B	0.944047154827755	2.9669569521773e-06	0.251869794466071	0.991978657307706	0.000271286371576007	0.539500422133843	Shared dynamics	3
FAM115C	0.0767210001774652	6.61838800060099e-05	0.309398724011886	0.888402866490071	0.00293790517968587	0.562655177930481	Shared dynamics	3
FAM126B	0.758697010367353	0	0.0270333596168404	0.95736024141038	0	0.309142577424862	Shared dynamics	3
FAM127C	0.0257442654370259	0.00106851025624377	0.151363303059488	0.888402866490071	0.0221744378686632	0.467528400788337	Shared dynamics	5
FAM129B	0.640496736144247	0.00124536914249257	0.0669854284974097	0.936097736867284	0.0247179203829045	0.398598235272033	Shared dynamics	4
FAM168B	0.0175965501644095	8.79869459053384e-05	0.353504960937428	0.843514816167479	0.0036413320978542	0.592201076120984	Shared dynamics	6
FAM171A1	0.327336323422079	0.00275881908244963	0.262056297474503	0.888402866490071	0.0428668795120495	0.539785561176716	Shared dynamics	1
FAM177A1	0.454060693741007	0.0015142599828088	0.734796822689429	0.897949345272661	0.0285958575394325	0.884783207736114	Shared dynamics	1
FAM212B	0.418602296861839	0.00202346702733408	0.773158267371382	0.888402866490071	0.0347743779251727	0.897564172740272	Shared dynamics	1
FAM213B	0.29575462977665	7.98227653951988e-05	0.675035943952586	0.888402866490071	0.00340300996366031	0.856284480279902	Shared dynamics	4
FAM219A	0.922949036642263	0.000128509592525305	0.785165460624391	0.989943324077014	0.00479022864402689	0.900440153920524	Shared dynamics	1
FAM227A	0.689151689024523	4.77072777849141e-06	0.949350755195658	0.945722303226089	0.000394110005979159	0.975362959705536	Shared dynamics	3
FAM43A	0.214639590768472	2.26828510597188e-05	0.12170019555649	0.888402866490071	0.00127047717610928	0.438087638355452	Shared dynamics	4
FAM46A	0.429038140885745	0.000663360984034411	0.654140479522845	0.892361943659363	0.0159406751642302	0.844182371434343	Shared dynamics	1
FAM53B	0.963365453371564	0.0014253372871168	0.204089465019989	0.994076272668432	0.0273756881464552	0.512042471103152	Shared dynamics	1
FAM66C	0.724595562870534	0.00119577726189546	0.775303450704868	0.950373730348676	0.0240685327333163	0.89827219533662	Shared dynamics	3
FAM78A	0.692258720132833	0.00256788511388301	0.0136150811237087	0.945722303226089	0.0406981258493636	0.239759897714297	Shared dynamics	1
FAM89B	0.0633116890961562	0.000682859211756148	0.752942240879444	0.888402866490071	0.01627255306159	0.891960055345906	Shared dynamics	6
FARP1	0.548191241051703	5.27851115278422e-06	0.329859589817076	0.918180504787017	0.000426184998584796	0.567839390435768	Shared dynamics	6
FASN	0.615813367644177	0.000553183738239538	0.643218572642374	0.933107045159171	0.0139574519615249	0.838487859054823	Shared dynamics	1
FASTK	0.714803012164779	0.000943652850752374	0.0851324104129958	0.948649332458102	0.0205092249332658	0.398598235272033	Shared dynamics	6
FBXL18	0.0492016575226782	0.00089499434384499	0.78116232080737	0.888402866490071	0.0196609874911957	0.899552806062478	Shared dynamics	1
FBXO32	0.804830635293529	0	0.735942614486565	0.966535169230414	0	0.884888061822842	Shared dynamics	1
FBXW4	0.935299033324288	0.00304747750030238	0.770874296078001	0.991431224524914	0.0460154047963794	0.896733890006248	Shared dynamics	4
FBXW7	0.17626621409288	0.000136084061156339	0.665484779242712	0.888402866490071	0.00500284290807735	0.85128654539002	Shared dynamics	6
FCAR	0.10312691399246	1.72550894234069e-05	0.243451321534706	0.888402866490071	0.00104290930311643	0.539500422133843	Shared dynamics	2
FCF1	0.845612777658455	0.000955267029540352	0.695467736594823	0.974138782842615	0.0206734158625633	0.867847098404696	Shared dynamics	2
FCHSD2	0.0396641979270669	0.00239703551420517	0.657523633443193	0.888402866490071	0.0387949862798289	0.845893049848081	Shared dynamics	6
FDPSL2A	0.628917727129027	0.000143417469320894	0.0216572527945511	0.934027228637292	0.00517463772949386	0.283725814846103	Shared dynamics	2
FEZ2	0.0512652566484634	0.000645008213762344	0.0589667269112364	0.888402866490071	0.0156192470501783	0.39718934750638	Shared dynamics	6
FFAR2	0.391573962152051	0.00034322154246369	0.543680604261056	0.888402866490071	0.00973948026863807	0.788650183645393	Shared dynamics	3
FGD1	0.400121259026986	0.000466105385427129	0.349495131371302	0.888402866490071	0.012191675827138	0.588104202225181	Shared dynamics	1
FGF2	0.376152466648488	0.00247774924043614	0.231944617260001	0.888402866490071	0.0397703846574432	0.530479520420833	Shared dynamics	3
FGF23	0.29710321924482	0	0.188966892719336	0.888402866490071	0	0.500663785089454	Shared dynamics	3
FGF8	0.887538815044938	2.14077256596168e-05	0.00795419329264901	0.981923026479907	0.00121819068673713	0.187007795232595	Shared dynamics	2
FHOD1	0.946198993591903	0.000137421102037405	0.269752746256706	0.992242247067069	0.0050433308734002	0.54391928875955	Shared dynamics	1
FKBP14	0.713288994283427	0.000538474831395186	0.126528125966026	0.948623014430067	0.0136507197778808	0.443148761363415	Shared dynamics	2
FKBP8	0.320787057185278	0.000203477762393878	0.503467403026441	0.888402866490071	0.00667731626407885	0.751947983294731	Shared dynamics	1
FLJ13197	0.589425096748283	0.00273441150272291	0.179534815869727	0.926550100149938	0.0426530495097827	0.492351566309752	Shared dynamics	2
FLJ30838	0.000417738310790391	1.13612630925353e-06	0.725410135178649	0.254215641954593	0.000124023257718308	0.879890784963154	Shared dynamics	2
FLJ31662	0.743003541146531	5.76409731445349e-07	0.862114961268666	0.954287556651655	7.61287815679301e-05	0.934148309664886	Shared dynamics	2
FLJ44635	0.651772258619785	0.00173679686696582	0.29264820014186	0.939239504934388	0.0310446998877198	0.555551895264885	Shared dynamics	3
FLNA	0.203658333894785	0.0017048721254192	0.0255281690601032	0.888402866490071	0.0306018825465346	0.303302203799464	Shared dynamics	4
FLOT1	0.868283992471623	0.00154762862468594	0.872742215700791	0.97930071204678	0.0289703080085567	0.939076009833639	Shared dynamics	1
FLVCR1	0.739634865367729	0	0.738487126807721	0.953745530036292	0	0.886085159554621	Shared dynamics	2
FN1	0.00651676322399332	3.9463656110128e-05	0.710919803913175	0.6088762704828	0.00200086347424715	0.873540278278801	Shared dynamics	6
FNBP1L	0.423931962049928	0.000692253508629725	0.116074705863022	0.891309578061906	0.0164024984171003	0.432671666085689	Shared dynamics	4
FNDC3B	0.986195707333441	0.00066456731382003	0.558115901976802	0.998152180593446	0.0159406751642302	0.799647524039076	Shared dynamics	1
FRMD4A	0.848281682095719	1.6747246924298e-05	0.2130316821922	0.975453808370907	0.0010296669402077	0.518428784370373	Shared dynamics	4
FRMD8P1	0.449034790059877	5.55679196170278e-05	0.735560613707721	0.897631307364123	0.00258714461028091	0.884888061822842	Shared dynamics	2
FSCN1	0.971090219195797	2.24341252201832e-05	0.357596363530633	0.995422140081123	0.0012598439454358	0.596346983172363	Shared dynamics	1
FTH1	0.456499692107029	6.59413643355755e-06	0.00684603406885209	0.89876636595615	0.000513047793208718	0.172529734908315	Shared dynamics	6
FUNDC1	0.79255107680252	0.00231498406035718	0.763214940709862	0.963544680906115	0.0380234371133842	0.895377262310716	Shared dynamics	5
FUT2	0.021081772651733	8.47893351951234e-05	0.13716691189296	0.873123535612497	0.00356109705051546	0.453254555499887	Shared dynamics	2
FUT9	0.55528573877439	0.00161508268172161	0.521026832343284	0.91846299211051	0.0296378403314072	0.76855498826728	Shared dynamics	2
FZD4	0.0549262372931096	0	0.289935676352274	0.888402866490071	0	0.553263463563448	Shared dynamics	6
FZR1	0.0033514679315592	3.27502942548685e-05	0.0308056178997849	0.474887469295634	0.00171746396048325	0.325357718160113	Shared dynamics	6
G6PC	0.276904114982662	0.00165397968753045	0.0618043931359137	0.888402866490071	0.0300157331589495	0.398598235272033	Shared dynamics	3
GAB2	0.375087926359165	1.52210101278527e-06	0.882028839774759	0.888402866490071	0.000155080348902636	0.943137419690046	Shared dynamics	4
GABBR2	0.664479163796303	0.00105286136923155	0.231161234365182	0.941536171429517	0.0219983406375838	0.529938093549019	Shared dynamics	3
GABRA2	0.931558714763613	0.000523884035564137	0.936088707823644	0.991251445099954	0.0133591370585698	0.968850699586477	Shared dynamics	3
GADD45GIP1	0.581584643907011	0.000414892636307451	0.00949560465935462	0.925173608998841	0.0111660916307349	0.205427661568808	Shared dynamics	6
GAS2L1	0.140286491194077	0.000358208495377321	0.766832704316984	0.888402866490071	0.00997239171395244	0.895793288974112	Shared dynamics	1
GATA3	0.673206437338731	0.00108386716396175	0.321352054518748	0.941925512248202	0.02241848295724	0.562655177930481	Shared dynamics	1
GBP6	0.691537438061794	1.38426520782664e-05	0.96590250991758	0.945722303226089	0.000894795721651323	0.982323586557975	Shared dynamics	2
