gene	residual_var_repeated	residual_var_independent	p_time_rep	p_time_condition_rep	p_time_ind	p_time_condition_ind	padj_time_rep	padj_time_condition_rep	padj_time_ind	padj_time_condition_ind	significant
PGAP1	0.150104776695667	0.1501048172197	0.317300424185951	0.0909734424630116	0.3173018235583	0.0909759797037153	0.624968319802428	0.403675365578258	0.631193298576186	0.429461218943059	FALSE
PGAP2	0.356789083491997	0.356789160924477	0.0611720946741331	0.912268792947008	0.061173298818199	0.909224764711933	0.304239455520166	0.957278229224826	0.312778738667009	0.958299127708629	FALSE
PGAP3	0.289843224420077	0.298151562372787	0.355015509222765	0.183540830456805	0.354864688770603	0.189421368224983	0.64772847576791	0.496633982643445	0.653696502878676	0.51822939446348	FALSE
PGBD1	0.707460471093474	0.707460530458845	0.154801652795423	0.0442793276416487	0.154803764574164	0.0442801723054207	0.497616611059327	0.359763525164131	0.505163954936331	0.391797537394915	FALSE
PGBD2	0.245624626561337	0.245624502474801	0.453682522792674	0.405265939024176	0.453702588288665	0.404831736379235	0.712021657571485	0.649177961470485	0.717734163694267	0.662671550116297	FALSE
PGBD3	0.175041129034553	0.175041263950126	0.0101683322072548	0.31134492751399	0.0101685995819513	0.311404279819082	0.100765432770372	0.562655177930481	0.105461636769477	0.574739841235912	FALSE
PGBD4	0.102298324917668	0.102298338929778	0.238583940478439	0.0352527037176429	0.238591227317012	0.0352514948482483	0.615325697984171	0.336025692399129	0.623841855025636	0.367265775020467	FALSE
PGBD5	0.00157815416630599	0.00176065906144636	0.69667897295402	0.886039107070589	0.711951557431271	0.901676933416822	0.835733526656372	0.944861081284007	0.84716731676767	0.955631051485354	FALSE
PGD	0.76667957230682	0.769379393139619	0.818313492217313	0.615264414345804	0.818340755994542	0.619105585317407	0.905775244670545	0.829668993902052	0.907233476750761	0.833367920946917	FALSE
PGF	0.243348337766834	0.243348235670739	0	0.0132856098467731	0	0.0132845528999914	0	0.23738523697646	0	0.260050173346341	TRUE
PGGT1B	0.513688964071358	0.513694569913351	0.0511304179231454	0.749174412054642	0.0511281131222133	0.733754384041427	0.273223382088816	0.890299186567351	0.280928892748556	0.889440081565765	FALSE
PGK1	1.49249134380962	1.74326741645716	0.0987129050953603	0.538934060327875	0.106860042495375	0.587440547720522	0.394818052694531	0.783517914980989	0.419712261999329	0.809328909145414	FALSE
PGK2	0.0013634124086175	0.00139037022196662	0.325601682241177	0.0864017909101206	0.325422799550291	0.0905933035761555	0.624968319802428	0.398598235272033	0.631193298576186	0.429066308999995	FALSE
PGLS	0.527823609393845	0.538263560994904	1.20028027043584e-05	0.280971022538858	9.77466538354399e-06	0.285447339689486	0.00080003727932228	0.548876896660341	0.000735254613457604	0.565953937527269	TRUE
PGLYRP1	0.000826445375917324	0.000955055225935722	0.323993215172983	0.0860530410065887	0.323642944711268	0.108878086521253	0.624968319802428	0.398598235272033	0.631193298576186	0.449027667542161	FALSE
PGLYRP2	0.00145019240186983	0.0014788660561822	0.325601682241192	0.0864017909101251	0.325422799550331	0.0905933035761455	0.624968319802428	0.398598235272033	0.631193298576186	0.429066308999995	FALSE
PGLYRP3	0.000567769043933394	0.000585949636733061	0.0195590244068831	0.917941551159982	0.0225102875688715	0.91644826620611	0.153107549042263	0.959660758410925	0.173533486757702	0.961192505085585	FALSE
PGLYRP4	0.0091013905994991	0.00910985124498874	0.566816306254339	0.441536088561825	0.567209044057889	0.428228246136703	0.781266616544343	0.68956979203422	0.785072882103351	0.689055542930051	FALSE
PGM1	0.794350315897185	0.86512085709179	0.101672858672594	0.337369440800186	0.115798334158384	0.372498192964965	0.400551000581628	0.575122026560496	0.437752160669993	0.625913252647755	FALSE
PGM2	0.489958236725155	0.576255620930949	0.0151868696508446	0.32508084473399	0.0193926374223092	0.486300904176853	0.130497294397378	0.56310150209913	0.158489255266512	0.749092451099204	FALSE
PGM2L1	0.304251682859141	0.304251584038195	0.0811112362282911	0.00260359028926005	0.0811177299491511	0.00260313880660368	0.355772039840204	0.105905737317506	0.364544202896878	0.114319637741165	FALSE
PGM3	1.68152546012018	1.70792256098701	0.231916767058044	0.24012083196795	0.23549329627907	0.245922220494186	0.606909386983111	0.537689724833727	0.619679567972818	0.555228448784674	FALSE
PGM5	0.0538204730308776	0.053820474252031	0.153719202287506	0.285180476287466	0.153719341900859	0.285185358900622	0.495104027117789	0.550951099910603	0.503333739519742	0.565676896434249	FALSE
PGM5-AS1	0.0215688490180407	0.0223846413582552	0.795147775554611	0.245261040787824	0.811111479342204	0.25369981287834	0.89297797919645	0.539500422133843	0.903447173854037	0.555228448784674	FALSE
PGM5P2	0.096272204635873	0.096272201759279	0.000417932394563725	0.023445111847558	0.000417945509158468	0.0234452402640317	0.0112196756763933	0.29373886373517	0.01193906824293	0.322357165034581	TRUE
PGP	0.770302056648898	0.770302111680811	0.0137391389606462	0.114988955362499	0.013742516793719	0.114979787811243	0.122717457716638	0.431674707531045	0.127232751760455	0.453749683904828	FALSE
PGPEP1	0.283442280171411	0.283441604906215	0.723928765620839	0.0337704376512953	0.723997254109809	0.0337568230486439	0.85161534359047	0.333928877391738	0.853736056451887	0.364657139707736	FALSE
PGPEP1L	0.00961146763059131	0.0102672104536401	0.385716695278246	0.0622152384618089	0.385382950632936	0.0744463357788236	0.66829485381579	0.398598235272033	0.675209106759114	0.429066308999995	FALSE
PGR	0.0429668789629314	0.0429668839857019	0.453574811268276	0.307111810205618	0.453578046191183	0.307111429137491	0.712021657571485	0.562655177930481	0.717731462014531	0.574739841235912	FALSE
PGRMC1	0.679893395962555	0.679894459900497	0.451184713974835	0.159637529804856	0.451185053968691	0.159637737679906	0.711050820644528	0.473863011612749	0.716651412731335	0.494299426251704	FALSE
PGRMC2	0.620578664035933	0.739659317127294	0.00160553415217024	0.233000375611934	0.00151294354410797	0.27332946734299	0.0295844970193824	0.53148568155257	0.0296776201625624	0.560612002534328	TRUE
PGS1	1.32479532501566	1.37229674636875	0.323037002377667	0.100737777694628	0.334561264054502	0.106383384659788	0.624968319802428	0.415936991809004	0.637980376167616	0.445872458017791	FALSE
PHACTR1	0.67158350758032	0.692067250751878	0.757838366750015	0.379742755460306	0.761274029876503	0.587823193036729	0.870027885120101	0.619423343434375	0.87351633848533	0.809448727867573	FALSE
